A,B,C,D,E
"2012/02/15","9260.34","9108.84","9314.37","9107.68"
"2012/02/16","9238.10","9232.38","9308.93","9214.23"
"2012/02/17","9384.17","9371.12","9435.03","9369.25"
"2012/02/20","9485.09","9534.03","9549.31","9462.67"
"2012/02/21","9463.02","9458.68","9517.04","9440.41"
"2012/02/22","9554.00","9459.74","9564.05","9442.58"
"2012/02/23","9595.57","9549.77","9609.84","9513.65"
"2012/02/24","9647.38","9594.85","9647.38","9576.21"
"2012/02/27","9633.93","9726.20","9736.11","9628.25"
"2012/02/28","9722.52","9567.12","9722.52","9528.77"
"2012/02/29","9723.24","9771.62","9866.41","9706.22"
"2012/03/01","9707.37","9771.34","9865.75","9666.02"
"2012/03/02","9777.03","9797.05","9803.75","9729.24"
"2012/03/05","9698.59","9756.98","9792.14","9673.75"
"2012/03/06","9637.63","9704.61","9732.89","9602.84"
"2012/03/07","9576.06","9509.10","9603.19","9509.10"
"2012/03/08","9768.96","9674.94","9768.96","9659.15"
"2012/03/09","9929.74","9911.07","10007.62","9853.18"
"2012/03/12","9889.86","10015.92","10021.51","9889.86"
"2012/03/13","9899.08","9921.25","10011.88","9888.30"
"2012/03/14","10050.52","10064.12","10115.79","10050.52"
"2012/03/15","10123.28","10115.40","10158.74","10077.55"
"2012/03/16","10129.83","10110.57","10148.47","10090.09"
"2012/03/19","10141.99","10150.85","10172.64","10134.48"
"2012/03/21","10086.49","10100.87","10132.02","10073.90"
"2012/03/22","10127.08","10055.16","10136.85","10052.50"
"2012/03/23","10011.47","10014.87","10031.96","9999.37"
"2012/03/26","10018.24","10040.10","10056.20","10016.05"
"2012/03/27","10255.15","10152.90","10255.15","10152.25"
"2012/03/28","10182.57","10153.51","10197.80","10124.28"
"2012/03/29","10114.79","10134.78","10147.04","10084.77"
"2012/03/30","10083.56","10089.10","10111.09","10033.19"
"2012/04/02","10109.87","10161.72","10190.35","10109.87"
"2012/04/03","10050.39","10082.21","10084.07","10040.99"
"2012/04/04","9819.99","10045.88","10059.19","9819.99"
"2012/04/05","9767.61","9737.50","9806.40","9692.70"
"2012/04/06","9688.45","9710.25","9739.59","9659.16"
"2012/04/09","9546.26","9565.31","9618.10","9535.33"
"2012/04/10","9538.02","9583.36","9648.12","9509.72"
"2012/04/11","9458.74","9398.60","9487.84","9388.14"
"2012/04/12","9524.79","9486.19","9541.04","9449.49"
"2012/04/13","9637.99","9613.19","9690.29","9603.97"
"2012/04/16","9470.64","9522.70","9532.91","9464.49"
"2012/04/17","9464.71","9476.15","9519.80","9455.32"
"2012/04/18","9667.26","9594.30","9682.88","9594.30"
"2012/04/19","9588.38","9578.68","9617.93","9565.83"
